,Unnamed: 0,Paragraph,classification
16,16,"Processes 2022, 10, 1992. https://doi.org/10.3390/pr10101992",No.
17,17,https://www.mdpi.com/journal/processes,No.
18,18,"Processes 2022, 10, 1992",Answer: No.
19,19,2 of 14,Answer: No.
20,20,"Prevention (CDC) in the United States, alcohol-based hand sanitizers and cleansing wipes
contain between 60% and 90% of alcohol, and the use of 70% of IPA is recommended [10].
Medical IPA was scientiﬁcally proven as a disinfectant that inactivates viruses such as the
COVID-19 virus.",No
21,21,"MIBK can be produced by several processes, but essentially by a three-step [11] method
and a single-step method [12–17]. Each of these processes can be carried out with different
catalysts, raw materials, and reaction conditions [12]. The three-step method involves aldol
condensation of acetone over homogeneous aqueous-based catalysts, such as sodium and
calcium hydroxide, forming diacetone alcohol (DAA), which is subsequently dehydrated
to mesityl oxide (MO). The ﬁnal step is the selective hydrogenation of the C=C bond of MO
to MIBK using Cu or Ni catalysts [18,19]. The most commonly occurring side reactions are
over-condensation and unselective hydrogenation [20].",Yes.
22,22,"The three-step process produces a considerable amount of wastewater containing
acidic impurities due to the homogeneous catalyst, which creates a corrosive environment
associated with high capital and operating costs for the neutralization process, acetone
condensation, and product puriﬁcation [18,19,21]. Alternatively, the one-step process
using a metal-supported catalyst was demonstrated to be more efﬁcient [22–28]. The
support catalyzes acetone condensation to mesityl oxide (MO), an α,β-unsaturated ketone,
followed by in situ catalytic reductions to MIBK using palladium on acidic ion-exchange
resins [18,29,30], while there are other processes that use Pd/zirconium phosphate [31].
In the one-step liquid-phase process, hydrogen and acetone are passed over metal base
catalysts at moderate temperature and high pressure to produce MIBK in a single step,
saving enormous costs that are required in the three-step method [32]. Under these reaction
conditions, aldol condensation and dehydration are reversible [33], but the catalyst shifts
the equilibrium toward MO, irreversibly hydrogenating it toward MIBK [28].",Yes.
23,23,"Despite the many advantages offered by the liquid-phase one-step process, it suffers
from high pressure, ranging from 3 to 10 MPa [13], which signiﬁcantly increases the capital
and operating costs. This is in addition to the large recycle ﬂow rate due to the low
conversion of acetone, which increases the size of equipment in the recycle loop as well as
the additional energy that is needed for recovering the unreacted acetone in the distillation
column. Therefore, it is an industrial objective to reduce the pressure and increase the
conversion and selectivity to make the process more proﬁtable.",No.
24,24,"Recently, Qianling et al. reported a bifunctional catalyst TiO2/Al2O32 and Pd/Cor for
one-pot liquid-phase synthesis of MIBK from acetone, which provides acetone conversion
of (35–45)% with a selectivity of (80–90)% to MIBK at 150 ◦C and 2.0 MPa [34]. However, the
process still suffers from the high-pressure requirement with moderate acetone conversion.
Baining et al. proposed an alternative support with high thermal stability and adjustable
acid-base property using phosphor-doped h-BN that catalyzes the aldol condensation
and dehydration to provide an acetone conversion of 58.24% and selectivity of 68.39%
to MIBK [35]. In addition, various kinds of support, including metal oxides [19,36,37]
and sulfonated graphene [38,39], have also been a prime focus in the development of the
process.",Answer: Yes.
25,25,"In this context, a novel nanocrystalline zinc chromite-supported nanopalladium (nano-
Pd/nano-ZnCr2O4) catalyst was developed by Bagabas et al. and Al-Rabiah et al. [20,40,41],
which enables the production of MIBK in a one-step gas-phase reaction at atmospheric
pressure. This can overcome the inﬁrmities that the conventional process suffers from.
However, the process requires a temperature of (200–350) ◦C, which is higher than the
conventional process, which uses a temperature of (120–160) ◦C [15].",No
26,26,"The reaction involves base–acid coupling of acetone to form mesityl oxide (MO),
followed by its hydrogenation to methyl isobutyl ketone (MIBK). The products with this
catalyst are methyl isobutyl ketone (MIBK) as the main product, isopropyl alcohol (IPA) as
the main byproduct, and diiasobutyl ketone (DIBK), mesityl oxide (MO), and mesitylene
(M) are also formed [20,40,41]. The MIBK produced by low-pressure one-step gas-phase
acetone condensation has an acetone conversion of (20–78)% and MIBK selectivities of",No.
27,27,"Processes 2022, 10, 1992",Answer: No.
28,28,3 of 14,Answer: No.
29,29,"(40–73)% for reaction temperatures of 200–350 ◦C with a hydrogen-acetone molar feed ratio
of 1 to 6 [20,40,41].",No.
30,30,"This research work focuses on the development of a novel process for the production
of methyl isobutyl ketone (MIBK) from hydrogen and acetone in a one-step gas-phase
reaction at ambient pressure using a novel nano-Pd/nano-ZnCr2O4 catalyst. Heat inte-
gration is conducted to reduce the process utilities. In addition, this work investigates
process economics to measure the proﬁtability and the impact of market volatility on the
proﬁtability of the process.",No
31,31,2. MIBK Process Development,No
32,32,"The developed process ﬂow diagram for the production of methyl isobutyl ketone is
shown in Figure 1. A process simulation was conducted using CHEMCAD v.7.1 software
based on a production of 30,000 metric tons of MIBK per annum with 30 days assigned for
maintenance. The thermodynamic model chosen was UNIFAC as a cubic equation of state.
The reactor conversion, selectivity, and feed ratio used in the simulation were based on the
aforementioned experiment.",Answer: Yes.
33,33,Figure 1. Developed process ﬂow diagram (PFD) of the MIBK process.,Answer: No.
34,34,"The fresh acetone feed (stream 1) enters the process at 70 ◦C and 1.8 atm in a liquid
phase and is mixed with the recycled acetone (stream 14), which enters at 74 ◦C and 1.8 atm.
Before entering the reactor R-101, the mixed stream is heated to 300 ◦C. The hydrogen
feed is mixed with recycled hydrogen (stream 11) before being heated to 300 ◦C and fed
into reactor R-101. Both reactor feeds pass through valves, V-101 and V-102, to reduce the
pressure in the reactor. The hydrogen–acetone molar feed ratio is maintained at 2:1, as
recommended [40,41]. The reaction proceeds isothermally in the gas phase at 300 ◦C and
1 atm in a ﬁxed bed catalytic reactor (R-101). The conversion of acetone is 66%, with a
selectivity of 69.4% to methyl isobutyl ketone (MIBK). Other products, such as isopropanol
(IPA) and diiasobutyl ketone (DIBK), are also produced. The selectivity of each of these
substances was determined based on the experimental work, which is shown in Table 1.
The reactor efﬂuent will then be compressed to 6.5 atm to compensate for pressure losses
through the pipelines and to enhance the separation of hydrogen without major product
losses from the process stream at low pressure and high temperature, preventing the use of
cryogenic conditions. MIBK losses at 1 atm are approximately 6 kmol/h. Consequently,
compression is mandatory to avoid cryogenic conditions. At 6.5 atm, the losses drop to
about 0.7 kmol/h of MIBK. After compression, the stream is cooled to 35 ◦C in E-103
before being fed into the ﬂash drum F-101. The overhead stream from ﬂash drum F-101
contains nearly 99.996% of the unreacted hydrogen, which is recycled and mixed with the
fresh hydrogen. The bottom stream from ﬂash drum F-101 (stream 12) is then throttled to
1.8 atm in V-103 before entering the distillation column, T-101. Nearly 99% of the unreacted
acetone is recovered in the overhead stream of T-101, using 48 stages, before being mixed",Yes
35,35,"Processes 2022, 10, 1992",Answer: No.
36,36,4 of 14,Answer: No.
37,37,"with the fresh acetone. The acetone/water system forms an azeotropic mixture at higher
compositions; therefore, about 0.04 of the entered water into the column is recovered into
the top stream to maintain the mixture in the column below the azeotropic point. The
bottom stream from T-101 is cooled to 70 ◦C in E-106 before being sent to a water decanter,
D-101, where 90% of the water is removed. The second outlet stream from the decanter
enters the distillation column, T-102, which consists of 34 stages, where 99.28% of the
isopropanol (IPA) is recovered. The remaining water is also separated with IPA in the
distillate stream, and the mixture is then cooled to 40 ◦C in E-109. The purity of IPA in the
top stream of T-102 is almost 68%, which is highly recommended to be used as sanitizer
in the medical industry, and therefore, there is no need to install a further distillation
column for increasing the purity of the IPA. The bottom stream from T-102 enters another
distillation column, T-103, which consists of 67 stages where 99% of the MIBK is recovered
in the overhead stream with a purity of 99.83 wt.%, achieving the product speciﬁcations [14].
The MIBK stream is then cooled to 40 ◦C in E-110 before being sent to the storage tank. The
bottom stream from T-103, which contains the heavy components (e.g., DAA, MO, M, and
DIBK), is cooled to 40 ◦C in E-111.",No.
38,38,"Table 1. The conversion and selectivity of the MIBK process at different temperatures [20,40,41].",No
39,39,Temperature,No.
40,40,"(◦C)
200
250
300
350",Answer: No.
41,41,Acetone,Answer: No.
42,42,Conversion%,No
43,43,"20.1
40.7
66
77.3",Answer: No.
44,44,"MIBK
40.6
53.9
69.4
72.1",Answer: No.
45,45,"DIBK
10.2
12.3
12.4
13.5",Answer: No.
46,46,"Selectivity
M
2.1
2.5
2.6
2.7",Answer: No.
47,47,"MO
6.1
4.4
2.1
2.2",No.
48,48,"IPA
40.7
25.8
11.2
5.4",Answer: No.
49,49,DA & Others,No
50,50,"0.3
1.1
2.3
4.1",Answer: No.
51,51,3. Heat Integration in the MIBK Process,Answer: No.
52,52,"Heat integration is an essential part of the process development. The reduction
in energy usage not only reduces the operating costs but also prevents harmful carbon
emissions in the environment. The required heating and cooling utilities were identiﬁed
for the process as shown in Figure 1. Each process stream was drawn with a tail and a
head representing the supplied temperature and the target temperature, respectively. The
ﬁnal heat exchanger network is shown in Figure 2, where the red and blue lines denote the
hot and cold streams, respectively. The constructed network utilizes the energy content
and high temperature of the reactor efﬂuent to heat up the feed streams. The acetone feed
(stream 2) leaving mixer M-101 will ﬁrst be heated by the reactor efﬂuent from 74.3 ◦C to
242 ◦C, in which no further heating can occur due to the process constraint prohibiting
phase change before the inlet of the compressor. The reactor efﬂuent will be further cooled
by the hydrogen feed (stream 5) until it reaches a minimum temperature approach of
10 ◦C to avoid an excessive large area. The outcome of the heat integration, as shown in
Figure 3, is a reduction in the heating and cooling utilities by 26% and 19.5%, respectively.
The reduction in the total utility demand is about 12.6%.
In terms of economics, the
implemented heat integration has resulted in an increase in the annualized capital cost
by $12,134/year (for 10 years of operation). However, operating costs have decreased by
$611,852/year, indicating a highly plausible energy utilization that satisﬁes both technical
and economic aspects.",Yes.
53,53,"The blue columns in Figure 3 represent the utility demand before the heat integration,
while the green columns represent the current value of the utility demand in the MIBK
process after heat integration. In addition, the ﬁgure is divided into three sections, starting
from the total utility demand, including the combined heating and cooling utilities, then
the heating utility in the middle, while the cooling utility is placed on the right side. The
process was re-simulated after the heat integration using CHEMCAD v.7.1. The developed
ﬂowsheet after heat integration is shown in Figure 4. The material balances for the key
streams of the developed MIBK process are shown in Table 2.",Yes.
54,54,"Processes 2022, 10, 1992",Answer: No.
55,55,5 of 14,Answer: No.
56,56,Figure 2. Heat exchanger network of the process streams for the developed process.,No.
57,57,Figure 3. Heat integration outcome for the developed process.,No.
58,58,Figure 4. Developed process ﬂow diagram (PFD) of the MIBK process after heat integration.,Answer: No.
59,59,"Processes 2022, 10, 1992",Answer: No.
60,60,6 of 14,Answer: No.
61,61,Table 2. Material balance of key streams for the developed MIBK process.,No
62,62,Streams,Answer: No.
63,63,Acetone,Answer: No.
64,64,Mixed Feed,Answer: No.
65,65,(S-2),Answer: No.
66,66,Temperature,No
67,67,(◦C),Answer: No.
68,68,Pressure,No
69,69,(atm),Answer: No.
70,70,"Enthalpy
(MJ/h)",No
71,71,Molar vapor,Answer: No.
72,72,fraction,Answer: No.
73,73,Molar ﬂow,No
74,74,rate,Answer: No.
75,75,"(kmol/h)
Mass ﬂow
rate (kg/h)",Answer: No.
76,76,"Hydrogen
Acetone
MIBK
Water
DAA
MO
M
IPA
DIBK",Answer: No.
77,77,74.29,No.
78,78,1.8,"The section does not come from the text that contains information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design. Answer: No."
79,79,"−37,473.6",Answer: No.
80,80,0.29,No.
81,81,160.11,No
82,82,9224.8,No
83,83,"0.0109
158.3",No.
84,84,1.84,No.
85,85,0,Answer: No.
86,86,"0
0
0",Answer: No.
87,87,0,No
88,88,0.00645,No.
89,89,"Hydrogen
Mixed Feed",Answer: No.
90,90,(S-16),No.
91,91,"Reactor
Efﬂuent",No
92,92,(S-6),Answer: No.
93,93,34.74,No.
94,94,5.9,Answer: No.
95,95,−2720.4,No
96,96,1,Answer: No.
97,97,342.63,Answer: No.
98,98,1266.14,Yes.
99,99,"331.31
7.64
0.75
2.36
0.0012
0.0115
0.0148
0.5225
0.0155",No
100,100,300,Answer: No.
101,101,1,Answer: No.
102,102,"−35,506.3",No
103,103,1,Answer: No.
104,104,443.12,No
105,105,"10,491",No.
106,106,"272
56.4
38.75
55.24
1.26
1.16
0.9637
12.79
4.54",Answer: No.
107,107,"Acetone
Recycle
(S-19)",No
108,108,61.49,No.
109,109,1.8,No
110,110,"−10,788",No.
111,111,1,Answer: No.
112,112,50.13,No.
113,113,"Hydrogen
Recycle
(S-14)",No
114,114,Waste-Water,No
115,115,(S-22),No.
116,116,35,No
117,117,5.9,Answer: No.
118,118,70,No
119,119,1.4,Answer: No.
120,120,−2695.83,No
121,121,"−12,968.1",No.
122,122,1,Answer: No.
123,123,283.34,No
124,124,0,No.
125,125,45.94,No
126,126,827.54,Answer: No.
127,127,45.94,No.
128,128,"0
0
0",Answer: No.
129,129,"0
0
0
0
0",Answer: No.
130,130,2837.35,No.
131,131,1146.63,No.
132,132,Component ﬂow rates (kmol/h),Answer: No.
133,133,"0.0109
48.27",No.
134,134,1.84,No
135,135,0.0065,No.
136,136,0,Answer: No.
137,137,"0
0
0",Answer: No.
138,138,0,Answer: No.
139,139,"272
7.64
0.75
2.36
0.0012
0.0115
0.0148
0.5225
0.0155",No.
140,140,"(IPA +
Water)
Product
(S-25)",No.
141,141,40,"The section does not come from the text containing information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design."
142,142,"1.4
−5515",Answer: No.
143,143,0,Answer: No.
144,144,18.02,No.
145,145,−5515,"The section does not come from the text containing information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design."
146,146,"MIBK
Product
(S-28)",Answer: No.
147,147,40,Answer: No.
148,148,1.9,Answer: No.
149,149,"(DIBK,",Yes.
150,150,"DAA, MO,
M) Product",Answer: No.
151,151,(S-30),No
152,152,40,"According to the provided context, the section does not come from the text, which contains information on at least one of the following: process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design. Answer: No."
153,153,2.4,Answer: No.
154,154,"−12,209.8",No
155,155,−3039.6,Answer: No.
156,156,0,Answer: No.
157,157,37.46,No
158,158,3748.6,No.
159,159,0,Answer: No.
160,160,8.25,No
161,161,1054.04,No
162,162,0,Answer: No.
163,163,"0.49
0.2492",Yes.
164,164,"5.1
0
0
0",Answer: No.
165,165,12.18,No
166,166,0,No
167,167,"0
0",Answer: No.
168,168,"0
0",Answer: Yes.
169,169,0,No
170,170,0,Answer: No.
171,171,37.37,No
172,172,0.0065,No
173,173,0.0883,No
174,174,"0
0",Answer: No.
175,175,0,No.
176,176,0.38,No.
177,177,"1.26
1.15
0.9489",No.
178,178,0,Answer: No.
179,179,4.53,No.
180,180,4. Economic Analysis,No
181,181,"An economic analysis was performed to verify the proﬁtability of the process based
on several economic indicators, including the return on investment, payback period, net
present worth, and discounted cash ﬂow rate of return.",No.
182,182,"The return on investment (ROI) is expressed on an annual basis, and it is deﬁned as the
average net proﬁt divided by the total ﬁxed capital investment as shown in Equation (1) [42].",No
183,183,ROI =,No.
184,184,Yearly net proﬁts,Answer: No.
185,185,Fixed capital investement,No
186,186,(1),No.
187,187,The payback period (PBP) is deﬁned as the required time to recoup the original,Answer: No.
188,188,depreciable ﬁxed capital investment as shown in Equation (2) [42].,No
189,189,PBP =,No.
190,190,"Depreciable ﬁxed capital investment
Avg. proﬁt/yr + avg. depreciation/yr",No.
191,191,(2),Answer: No.
192,192,The net present worth (NPW) is deﬁned as the difference between the present value of,No
193,193,the annual cash ﬂow and the initial required investment as shown in Equation (3).,No.
194,194,NPW =,No.
195,195,Net cash ﬂow at time t,Answer: No.
196,196,(1 + interest rate)time of cash ﬂow,Answer: No.
197,197,(3),No.
198,198,"The discounted cash ﬂow rate of return (DCFRR) represents the maximum inter-
est rate that a project can afford to pay for its total capital investment [43] as shown in
Equation (4) [42].",No
199,199,NPW =,No.
200,200,n=T∑,No
201,201,n=1,No
202,202,Cash ﬂow at time t,Answer: No.
203,203,(1 + DCFRR)n − Total capital investment = 0,No
204,204,(4),No
205,205,"In order to determine the economic indicators, the following should be calculated:
(i) the cost of the equipment; (ii) the costs of raw materials and utilities; (iii) the total capital
cost; and (iv) the total production cost.",No.
206,206,"Processes 2022, 10, 1992",Answer: No.
207,207,7 of 14,"The presented configuration consists of a series of steps: a feed CO2 is mixed with a low-pressure recycle stream, then it is compressed, cooled, and phase separated. The resulting compressed stream is mixed with feed H2 and a high-pressure recycle stream. The mixed stream is preheated and enters the inner tubes of parallel reactor modules, with the temperature being controlled by boiling water on the shell side. Based on this information, the section contains information on process description and process design. Answer: Yes."
208,208,4.1. Purchase Cost,No
209,209,"In order to determine the purchase costs, the process equipment sizes must ﬁrst be
calculated; the process simulator was used for this purpose. In addition, the costs were
estimated using the CHEMCAD costing package, adjusting all the costs to 2022 using the
Chemical Engineering Plant Cost Index (CEPCI) [44]. Figure 5 depicts the distribution
of the process equipment costs. Note that the condensers and reboilers of the distillation
columns are compiled with heat exchangers. The cost distribution of the process equipment
indicates that the distillation columns account for the largest share of ﬁxed capital costs
of around 40% as the most expensive units of the process, which is due to the byproducts
generated by the process.",Yes.
210,210,Figure 5. Fixed capital cost distribution for the developed process.,No
211,211,4.2. Raw Material and Utility Costs,No
212,212,"Besides the ﬁxed capital costs, the raw materials and utility costs are major components
of the production cost. The prices of the raw materials, utilities, and products are shown in
Table 3.",No
213,213,"Table 3. Cost input for the developed MIBK process [45,46].",Answer: No.
214,214,Item,Answer: No.
215,215,"Acetone
Hydrogen",Answer: No.
216,216,Raw Materials,No
217,217,Utilities,No
218,218,High-pressure steam (hps),Answer: No.
219,219,Medium-pressure steam (mps),Answer: No.
220,220,Low-pressure steam (lps),Answer: No.
221,221,"Boiler feed water
Cooling water (cw)",Answer: No.
222,222,Electricity,No
223,223,Products,No
224,224,Methyl isobutyl ketone (MIBK),Answer: No.
225,225,Isopropanol (IPA),Answer: No.
226,226,"(DAA, DIBK, MO, M)",Answer: No.
227,227,Price Unit,No.
228,228,"$790/ton
$2500/ton",Answer: No.
229,229,"$5.66/GJ
$4.77/GJ
$4.54/GJ",No.
230,230,"$1.532/1000 kg
$15.7/1000 m3
$0.0674/kWh",Answer: No.
231,231,"$2120/ton
$1540/ton
$1300/ton",Answer: No.
232,232,"The distribution of the utility costs is depicted in Figure 6. It shows that electricity
represents 35% of the total utility cost, which is due to its high prices. Low-pressure
steam is the second most cost-intensive required utility that is used in the reboiler of T-101.
Although cooling water is the most consumed in terms of volume, it accounts for only 5%",No.
233,233,"Processes 2022, 10, 1992",Answer: No.
234,234,8 of 14,"The given section does not contain information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Therefore, the answer is No."
235,235,"of the total utility cost, which is due to the low price of cooling water compared to the other
utilities.",Answer: No.
236,236,Figure 6. Utility cost distribution for the MIBK process.,No
237,237,4.3. Total Capital Cost,No
238,238,"The total production cost comprises all of the direct, indirect, and general expenses [42].
The direct costs are estimated as a fraction of the purchased equipment costs and include
all the prices of the delivery and installation of the purchased equipment, installed instru-
mentation and control systems, installed piping, electrical systems, yard improvement,
buildings, and service facilities [42]. The direct cost of the developed MIBK process is
$18.34 million per annum. The indirect cost was calculated as a fraction of the direct cost
provided in Plant Design and Economics for Chemical Engineers by Peter and Timmer-
haus [42]. It includes the engineering and supervision costs, construction, legal, contractor,
and contingency expenses, which represent $7.34 million [42]. The ﬁxed capital investment
is the summation of the direct and indirect costs [42]; it is $25.68 million for the MIBK
process. The total capital investment is a combination of the ﬁxed capital investment and
the working capital. The working capital was taken as 0.15 of the total capital cost for the
ﬂuid processing plant [42]. The total capital investment in the developed MIBK process is
$30.21 million.",No.
239,239,4.4. Total Product Cost,Answer: No.
240,240,"The total product cost represents all of the annual expenses that are required for
production. It includes raw material prices, utility costs, operating labor, maintenance and
repairs, operating supplies, laboratory charges, royalties, taxes, ﬁnancing, insurance, rent,
depreciation, plant overhead, administration, distribution and selling, and research and
development expenses, all of which are fractions of the ﬁxed capital investment provided
by Peter and Timmerhaus [42]. The total production cost, excluding depreciation, for the
developed MIBK process is $55.78 million annually.",No
241,241,4.5. Proﬁtability Evaluation,Answer: No.
242,242,"The process proﬁtability can now be evaluated after obtaining all of the necessary
information. The total raw material cost is $42.71 million per year, which accounts for
76.7% of the total product cost. The total product price is $83.81 million yearly, which
shows a positive proﬁt margin. Therefore, ﬂuctuations in the raw material or product prices
may have a considerable inﬂuence on the process proﬁtability; consequently, a sensitivity
analysis is required for the price ﬂuctuation. The plant has shown its feasibility in being
commercially applied; the return on investment for the plant is 29.6%/y, with a payback
period of 2.2 years. Furthermore, the plant could generate $28.93 million proﬁts in 10 years",No
243,243,"Processes 2022, 10, 1992",Answer: No.
244,244,9 of 14,"Based on the provided information, the answers are as follows:

1. Yes
2. Yes
3. Yes
4. No
5. No
6. Yes
7. No
8. No
9. No"
245,245,"of operation. The discounted rate of return on investment of the plant is 26.6%. Table 4
summarizes the economic performance of the MIBK process.",No
246,246,Table 4. The economic performance for the developed MIBK process.,No
247,247,Factor,No.
248,248,Value,No.
249,249,Total Raw Material Cost,Answer: No.
250,250,Total Utility Cost,No
251,251,"Fixed Capital Investment (FCI)
Total Capital Investment (TCI)",No
252,252,Depreciation,No
253,253,Total Product Cost,No
254,254,Revenue,No
255,255,"$42.71 million/y
$1.646 million/y
$25.68 million
$30.22 million",Answer: No.
256,256,"$55.78 million/y
$83.81 million/y",Answer: No.
257,257,"MACRS, 5 years recovery period",No
258,258,Return on Investment (ROI),No
259,259,Payback Period,No
260,260,Net Present Worth (at i = 15%),Answer: No.
261,261,Discounted Cash Flow Rate of Return (DCFRR),No.
262,262,29.6%/y,Answer: No.
263,263,2.2 y,Answer: No.
264,264,$28.93 million,Answer: No.
265,265,26.6%,No
266,266,4.6. Economic Sensitivity Analysis,No
267,267,"The petrochemical industry is a highly volatile market that has experienced many
ups and downs throughout its market history [47,48]. Therefore, to account for these
perturbations, raw material costs, product costs, utility costs, and ﬁxed capital costs were
varied by ±15% of their current prices. Figure 7 shows the overall sensitivity analysis
of the above factors at a constant production rate and 10 years of operation. It shows
that the process is highly dependent on the product prices, in which a 10% increase could
make the process an extremely lucrative process with an ROI of 54.3%. However, a 15%
decrease could make the process unproﬁtable with an ROI of 4.1%. The ﬂuctuation in the
product prices gave maximum and minimum values of ROI in the sensitivity analysis,
which represents the importance of reducing the MIBK losses throughout the process. On
the other hand, raw material prices come in as a second large contributor to the process
proﬁtability, in which a 15% increase in the raw material prices decreases the ROI to
12.7%, whereas a 15% reduction in the raw material prices increases the ROI to 46%. This
highlights how crucial it is to properly recover unreacted raw materials (e.g., acetone
and hydrogen), in addition to the great inﬂuence that the higher selectivity can have on
the process proﬁtability. The ﬁxed capital investment was found to be the third largest
contributor, with an ROI of 23.5% if its cost increased by 15% and an ROI of 37.7% if
its cost decreased by 15%. This also highlights that even though recovering more of the
product and raw materials can increase the TCI, it has a lower negative inﬂuence on the
process proﬁtability than losing them. In addition, it is worth noting that the utility cost,
as expected, has an insigniﬁcant impact on the ROI as the current utility cost is $1.646
million per year, representing only 2.95% of the total product cost, which is due to the
low-pressure requirement in the process compared to the conventional process, which is
directly associated with the electricity consumption.",Yes
268,268,"Processes 2022, 10, 1992",No
269,269,10 of 14,Answer: No.
270,270,Figure 7. Return on investment under various market variations of the economic factors.,No
271,271,4.7. Effect of Reaction Temperature on the Process Proﬁtability,No
