,Unnamed: 0,Paragraph,classification
10,10,"Abstract: Carbon Capture and Utilization (CCU) is a viable solution to valorise the CO2 captured
from industrial plants’ ﬂue gas, thus avoiding emitting it and synthesizing products with high added
value. On the other hand, using CO2 as a reactant in chemical processes is a challenging task, and a
rigorous analysis of the performance is needed to evaluate the real impact of CCU technologies in
terms of efﬁciency and environmental footprint. In this paper, the energetic performance of a DME
and methanol synthesis process fed by 25% of the CO2 captured from a natural gas combined cycle
(NGCC) power plant and by the green hydrogen produced through an electrolyser was evaluated.
The remaining 75% of the CO2 was compressed and stored underground. The process was assessed
by means of an exergetic analysis and compared to post-combustion Carbon Capture and Storage
(CCS), where 100% of the CO2 captured was stored underground. Through the exergy analysis, the
quality degradation of energy was quantiﬁed, and the sources of irreversibility were detected. The
carbon-emitting source was a 189 MW Brayton–Joule power plant, which was mainly responsible
for exergy destruction. The CCU conﬁguration showed a higher exergy efﬁciency than the CCS,
but higher exergy destruction per non-emitted carbon dioxide. In the DME/methanol production
plant, the main contribution to exergy destruction was given by the distillation column separating
the reactor outlet stream and, in particular, the top-stage condenser was found to be the component
with the highest irreversibility (45% of the total). Additionally, the methanol/DME synthesis reactor
destroyed a signiﬁcant amount of exergy (24%). Globally, DME/methanol synthesis from CO2 and
green hydrogen is feasible from an exergetic point of view, with 2.276 MJ of energy gained per 1 MJ
of exergy destroyed.",No.
11,11,Keywords: carbon capture and utilization; methanol and DME production; exergy analysis,Answer: No.
12,12,1. Introduction,No
13,13,"Climate change mitigation is a worldwide effort that involves all countries around the
world. Among all problems, greenhouse gas (GHG) emissions have a signiﬁcant impact on
the environment. Regarding this matter, the Intergovernmental Panel on Climate Change
(IPCC) and the United Nations Climate Change Conference have established the needs of
reducing CO2 emissions (recognized as the gas mainly responsible for climate change) and
mitigating the global average temperature increase. Targets were set up, proposals to reach
them were provided, and some technologies were identiﬁed as a solution in counteracting
this issue.",Answer: No.
14,14,"Citation: De Falco, M.; Natrella, G.;
Capocelli, M.; Popielak, P.;
Sołtysik, M.; Wawrzy ´nczak, D.;
Majchrzak-Kuc˛eba, I. Exergetic
Analysis of DME Synthesis from CO2
and Renewable Hydrogen. Energies
2022, 15, 3516. https://doi.org/
10.3390/en15103516",No.
15,15,"Academic Editors: Federica Raganati
and Paola Ammendola",No
16,16,"Received: 12 April 2022
Accepted: 9 May 2022
Published: 11 May 2022",No
17,17,"Publisher’s Note: MDPI stays neutral
with regard to jurisdictional claims in
published maps and institutional afﬁl-
iations.",No
18,18,"Copyright: © 2022 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",No
19,19,"Energies 2022, 15, 3516. https://doi.org/10.3390/en15103516",No.
20,20,https://www.mdpi.com/journal/energies,No
21,21,"Energies 2022, 15, 3516",No
22,22,2 of 20,Answer: No.
23,23,"The extensive concentration of carbon dioxide in the atmosphere is a threat to environ-
mental safety, contributing to the greenhouse effect, but CO2 is a source of carbon for plants
and can also be used as a reactant in chemical reactions [1–3]. This concept has led to the
development of Carbon Capture and Utilization (CCU) technologies, which are perceived
as a more justiﬁed and socially acceptable technology for CO2 management than Carbon
Capture and Storage (CCS). However, even if they can be considered a feasible solution,
their cost is still an issue. Hasan et al. proposed a national Carbon Capture Utilization and
Storage (CCUS) supply chain network for a U.S. case study in their multiscale framework
analysis [4]. With the proposed solution focused on proﬁt rather than maximizing CO2 uti-
lization, average proﬁts between $0.3 and $17.6 per ton of CO2 were achieved (depending
on the weighted average total costs of capturing and utilizing a ton of CO2).",No.
24,24,"There are plenty of ways to apply CCU technology wherever there is a CO2-emitting
source, e.g., energy-intensive industry branches, such as energy, petrochemical and cement
or iron and steel production. Additionally, CCU reactions can be supported with green
technologies, such as renewable energy sources (RES).",Answer: No.
25,25,"The ﬁrst step in a CCU process is the capturing of CO2 through well-known technolo-
gies, such as oxyfuel combustion, pre-combustion or post-combustion, or as a direct-air
capture process [5,6]. Post-combustion carbon capture can be achieved by physical or
chemical separation methods, such as membranes, adsorption, absorption and cryogenic
processes. Many of these technologies are already applied in industry [7]. Pre-combustion
processes capture CO2 prior to the combustion reaction and it can be achieved with the
coal gasiﬁcation process or with oil or gas fuel-reforming processes [8].",Answer: No.
26,26,"After having captured and concentrated the CO2, it can be fed to a chemical reactor for
its conversion into products, such as syngas, urea, methane, ethanol, formic acid, etc. This
paper is focused on the analysis of conﬁgurations to synthesize methanol and dimethyl
ether (DME) from CO2.",Answer: Yes.
27,27,"Dimethyl ether (DME) or methoxymethane is the simplest aliphatic ether with the
molecular formula CH3OCH3. It is a colourless, near-odourless gas under ambient con-
ditions. It is neither a toxic nor carcinogenic compound, with properties similar to liquid
petroleum gas (LPG); thus, it can be easily blended with it and used as a fuel [9–11]. In
the chemical industry, it is mainly used to produce diethyl sulphate, methyl acetate, light
oleﬁns and gasoline [12]. Nowadays, it is considered an alternative fuel with low emis-
sions of NOx, hydrocarbons and carbon monoxide [2,13]. DME can be obtained in two
ways: direct synthesis and through the methanol dehydration process. The ﬁrst method’s
reactions are:",No
28,28,CO + 2H2 (cid:29) CH3OH,Answer: No.
29,29,2CH3OH (cid:29) CH3OCH3 + H2O,Answer: No.
30,30,H2O + CO (cid:29) H2 + CO2,Answer: No.
31,31,(1),Answer: No.
32,32,(2),Answer: No.
33,33,(3),No
34,34,"The process of direct DME synthesis is exothermic (c.a. 246.2 kJ/mol DME); therefore,
the heat produced during the reactions has to be removed. The inlet reactant mixture is
composed of CO and H2.",Answer: Yes.
35,35,"Methanol dehydration to produce DME is also an exothermic process. CO2 can be
used to produce methanol and then dehydrate it to DME. This has been proven to be a very
economical way of utilizing carbon dioxide [2,14,15]. The chemical reactions occurring
during the process are presented below:",No.
36,36,Methanol formation,Answer: No.
37,37,Methanol dehydration,Answer: Yes.
38,38,CO2 + 3H2 (cid:29) CH3OH + H2O,Answer: Yes.
39,39,2CH3OH (cid:29) CH3OCH3 + H2O,Answer: No.
40,40,(4),Answer: No.
41,41,(5),"Flowsheet synthesis, flowsheet design
Answer: No"
42,42,"Energies 2022, 15, 3516",Answer: No.
43,43,Reverse water–gas shift (rWGS),Answer: No.
44,44,CO2 + H2 (cid:29) CO + H2O,Answer: Yes
45,45,Net reaction,Answer: Yes.
46,46,2CO2 + 6H2 (cid:29) CH3OCH3 + 3H2O,Answer: No.
47,47,3 of 20,Answer: No.
48,48,(6),No.
49,49,(7),No.
50,50,"In Ref. [16], the authors explored the proﬁtability of DME production from biogas; in
Ref. [17], a techno-economic assessment of bio-DME and bio-methanol production from
oil palm residue was proposed. Methanol is a colourless, ﬂammable liquid under ambient
conditions with a characteristic odour. As one of the most important raw materials, it is
a substrate in many syntheses of chemical compounds, including formaldehyde, acetic
acid and chloromethane. It is also a very good solvent and it is easily miscible with water,
alcohols and organic solvents. Due to its wide application in many industries (fuel, chemical
and other industries), the demand for methanol is constantly growing, i.e., from 47 Mt/a
in 2011 [18] to 100 Mt/a in 2021 [19]. According to the report made by the International
Renewable Energy Agency [19], in 2021, only 0.2% of global production of methanol came
from renewable sources—more than 60% was converted by natural gas reformation and
the rest was produced by natural coal gasiﬁcation.",No
51,51,Methanol can be synthesized from a gas containing either carbon monoxide or carbon,Answer: No.
52,52,dioxide when it reacts with hydrogen:,No
53,53,CO2 + 3H2 (cid:29) CH3OH + H2O,Answer: Yes.
54,54,(8),No.
55,55,"(9)
The main properties of DME and methanol in comparison with LNG and diesel oil are
shown in Table 1. Moreover, several potential major applications of DME and methanol are
shown below in Figures 1 and 2.",Answer: No.
56,56,CO + 2H2 (cid:29) CH3OH,Answer: Yes.
57,57,Table 1. Properties of DME and methanol compared with other fuels.,Answer: No.
58,58,Properties,No
59,59,Molecular formula,No
60,60,CAS Number,Answer: No.
61,61,"Molar mass (g/mol)
Cetane number **
Melting point (◦C)",Answer: No.
62,62,Density at 25 ◦C and 1 atm (kg/m3),Answer: No.
63,63,"Boiling point (◦C) at 1 atm
Autoignition temperature (◦C)",No.
64,64,Miscible with water?,Answer: No.
65,65,Miscible with organic solvents? ***,No.
66,66,"DME
[20]",No
67,67,"C2H6O
115-10-6",Answer: No.
68,68,"46.07
55 to 60
−141
−24.8
668.3
235
Yes
Yes",No.
69,69,Methanol,No
70,70,[18],Answer: No.
71,71,"CH3OH
67-58-1
32.04
~5
−97.88
64.65
786.68",No
72,72,"440
Yes
Yes",No
73,73,Methane *,No
74,74,0,Answer: No.
75,75,"[21]
CH4
74-82-8
16.04
−182.47
−161.5
0.657
537
Yes
Yes",No
76,76,Diesel Fuel,Answer: No.
77,77,"[22,23]",Answer: No.
78,78,—,No
79,79,68334-30-5,No
80,80,"—
40 to 55
−40
141",No
81,81,800–910,Answer: No.
82,82,"250
No
Yes",No
83,83,"* Methane as main part of Liquid Natural Gas (LNG), ** average value, *** with most popular polar and nonpolar
organic solvents.",Answer: No.
84,84,"Energies 2022, 15, 3516",Answer: No.
85,85,4 of 20,Answer: No.
86,86,"Figure 1. Applications of DME [20,24].",No
87,87,"Figure 2. Applications of methanol [18,19,25].",No.
88,88,State-of-the-Art Production of DME/Methanol from Green Hydrogen and CO2,Answer: No.
89,89,"Converting CO2 into DME requires an energy input in the form of hydrogen, as
shown in Equations (1)–(9). In order to meet the goal of reducing carbon emissions, green
hydrogen is needed [1,5,26,27].",Answer: No.
90,90,"Hydrogen can be synthesized in different ways: chemical, biological, catalytic, electro-
chemical and thermal. To reduce the carbon footprint of the CCU process, a low-emission
hydrogen production technology has to be applied. Among several possible approaches,
the production of “green hydrogen” using an electrolyser powered by a renewable energy
source is the most interesting [28,29].",No
91,91,"Barbato et al. [24] presented a process for carbon dioxide conversion to green methanol
where CO2 captured from a power plant was combined with hydrogen from an electrolyser",Answer: Yes.
92,92,"Energies 2022, 15, 3516",No.
93,93,5 of 20,Answer: No.
94,94,"powered by hydropower energy. In the calculations and conclusions, the price (with cost
calculations at the prevailing rate) of methanol production resulted to be 294 €/ton and it
was successfully reduced by 20% compared to the price of methanol produced traditionally.
While there are a number of pilot or demonstration-scale facilities, there are a few
commercial units producing either DME or methanol on an industrial scale. Regarding
existing facilities with a power plant as a carbon dioxide source, two projects developed in
Germany can be taken into consideration.",No
95,95,"The ﬁrst was funded by Europe’s Horizon 2020 program (MefCO2, Project No. 637016).
Nine partners established in 2014 an international cooperation to research the feasibility of
CCU technology along with the production of green methanol. The main aims of the project
were to demonstrate the economic feasibility of utilizing captured CO2 by converting it
into a usable fuel, such as methanol, and further providing green hydrogen produced
from excess energy from renewable sources. The source of carbon dioxide was a lignite-
ﬁred power plant located in Niederaussem, Germany. The project ended in 2019 with the
development of one of the largest facilities in the European Union to synthesize methanol
from CO2 from ﬂue gases, capable of producing 1 ton of methanol per day while capturing
more than 1.5 tons of carbon dioxide per day [30–37].",Yes.
96,96,"Carbon Recycling International Ltd. (CRI, Reykjavik, Iceland), known for producing
renewable methanol since 2007, participated in this project. CRI’s pilot unit is located near
Iceland’s capital—Reykjavik. Industrial-scale green methanol production began in 2012 in
the ﬁrst pilot plant with an annual capacity of about 4000 tonnes of methanol (c.a. 12 t/d).
The process is based on the conversion of CO2 from geothermal sources with the hydrogen
produced by water electrolysis using geothermal energy [1,36,38]. The methanol produced
in this facility is used in a number of applications, including blending with gasoline,
biodiesel production, and wastewater denitriﬁcation. Additionally, the CRI methanol
production process reduces the environmental impact by 90% compared to conventional
methods [19]. Furthermore, CRI, in cooperation with China Henan Shuncheng Group,
developed in 2021 the world’s ﬁrst green methanol plant with a capacity of 110,000 tons
per year [39].",No.
97,97,"The ALIGN-CCUS (Project No 271501) demonstration plant is also located at Nieder-
aussem, Germany. The project was funded through the ERA-NET ACT program and it was
co-funded by the European Commission under the Horizon 2020 program ACT [40]. The
source of the captured CO2 is a 1000 MW power plant unit, and the hydrogen comes from
a 140 kWel alkaline electrolyser providing 22 kg of hydrogen per day. The daily production
of DME is about 50 kg. For DME synthesis, a Mitsubishi Power bifunctional catalyst was
used, which was responsible for both methanol synthesis and the dehydration process [41].
In this paper, we evaluate the energetic performance of a DME and methanol syn-
thesis process fuelled by the CO2 captured from a natural gas combined cycle (NGCC)
power plant and by the green hydrogen produced using an electrolyser (alkaline). The
process conﬁguration performance is assessed by means of an exergetic analysis and com-
pared to a post-combustion CCS. Through exergy, these two different processes can be
evaluated [42–44], assessing the quality degradation of energy and individuating sources
of irreversibility.",No
98,98,"The post-combustion CCS is a common basis to compare new strategies to avoid
carbon emissions. Olaleye et al. deeply discussed post-combustion carbon capture from a
coal-ﬁred power plant [45,46].",No.
99,99,"Blumbert et al. presented an NG-based low-pressure synthesis process for the pro-
duction of methanol with CO2 utilization [47]. In their paper, the authors conducted an
extended exergy analysis dividing the methanol production plant into various subsystems
and evaluated the performance of each of them. Nakyai et al. [48] conducted an energy
and exergy analysis of the DME production from CO and CO2 in a single-stage process.
Farooqui et al. [49] evaluated from an energetic and an exergetic point of view a poly-
generation plant with oxyfuel carbon capture for combined power and DME production.
In our paper, we proposed a new conﬁguration for DME and methanol production in a",Answer: No.
100,100,"Energies 2022, 15, 3516",Answer: No.
101,101,6 of 20,Answer: No.
102,102,"single-stage process, in which a 90% CO2 conversion rate was achieved. We compared this
process with post-combustion CCS and evaluated all of the chain from the NGCC power
plant to the DME and methanol production. Through the exergetic analysis, we spotted the
irreversibilities, calculated the conventional performance indicators [45–47] and deﬁned
new performance indicators to assess the goodness of our conﬁguration with respect to
energy transformation and exergy destruction.",Answer: No.
103,103,"The proposed conﬁguration is described in Section 2. Section 3 introduces the adopted
methodology and the process assumptions that were made. Section 4 presents the results
of the exergy analysis and Section 5 gathers the main conclusions of the work.",No
104,104,2. Systems Description,Answer: Yes.
105,105,"In this section, the proposed system to reduce carbon emissions and to produce
valuable products, such as DME and methanol, is described (Figure 3). The carbon dioxide-
emitting source is a natural gas combined cycle (NGCC) power plant whose ﬂue gas
is washed with an MDEA water solution to capture the CO2 (refer to Section 2.1). The
recovered carbon dioxide is partly stored underground and partly converted into DME and
methanol, reported in Sections 2.2 and 2.3, respectively.",No
106,106,Figure 3. Conﬁguration of the proposed solution (top) and of the comparison basis.,Answer: No.
107,107,2.1. Power Plant and Post Combustion Carbon Capture,Answer: Yes.
108,108,"The simpliﬁed scheme of the NGCC power plant with Post-Combustion Carbon
Capture (PCCC) is depicted in Figure 4. The parameters and process conﬁguration are
taken from [50]. The overall scheme is presented in Figure 4 and the main inputs, outputs
and assumptions are listed in Table 2.",Answer: No.
109,109,"The Heat-Recovery Steam Generator (HRSG) of the power plant has three pressure levels:
4.6 bar, low pressure (LP);
40 bar, intermediate pressure (IP);
150 bar, high pressure (HP).",No
110,110,"•
•
•",Answer: No.
111,111,"Energies 2022, 15, 3516",No
112,112,7 of 20,"The text contains information on at least one of the following: process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design."
113,113,Figure 4. Power Plant—PCCC block scheme (the numbers represent the ﬂow rates between the units).,Answer: No.
114,114,Table 2. Power Plant and PCCC Process Assumptions.,Answer: No.
115,115,Operating Parameter,Answer: No.
116,116,Natural Gas Flow Rate (kg/h),Answer: No.
117,117,Air Flow Rate (kg/h),No
118,118,Compressed Air Pressure (bar),Answer: No.
119,119,"Gas Turbine Outlet Temperature (K)
Compressors Polytropic Coefﬁcients
Compressors Mechanical Efﬁciency",Answer: No.
120,120,Turbines Mechanical Efﬁciency,Answer: No.
121,121,"TG Isentropic Efﬁciency
Water Flow Rate (kg/h)",No
122,122,High Pressure (bar),Answer: No.
123,123,Intermediate Pressure (bar),Answer: No.
124,124,Low Pressure (bar),Answer: No.
125,125,"HT Isentropic Efﬁciency
IP Isentropic Efﬁciency
LP Isentropic Efﬁciency",Answer: No.
126,126,Condensing Temperature (K),Answer: No.
127,127,Net Power from Power Plant (MW),No.
128,128,Solvent,No.
129,129,Absorber Pressure (bar),Answer: No.
130,130,Absorber Number of Stages,Answer: No.
131,131,Stripper Pressure (bar),No
132,132,Stripper Number of Stages,Answer: No.
133,133,Stripper Reboiler,Answer: No.
134,134,"Value
50,000",No.
135,135,"2,572,034",No
136,136,0.9215–0.9315,Answer: No.
137,137,"169,197",No.
138,138,"18.2
898",No.
139,139,"0.9
0.9
0.75",Answer: No.
140,140,"150
40
4.6
0.92
0.94
0.88
311.5
188.5",Answer: No.
141,141,"3.8
10
1.1
5",No
142,142,Kettle,No
143,143,40% MDEA (mass basis),No
144,144,"Energies 2022, 15, 3516",No.
145,145,8 of 20,"The section does not come from the text, which contains information on at least one of the following: process description, process design, process simulation, flowsheet description, flowsheet synthesis, flowsheet design."
146,146,"The outlet steam of the low-pressure turbine (LT) is condensed and fed to the deaerator
unit with the condensate pump (CP) at 3 bar. Here, a vent is purged and the liquid collected
at the bottom is pressurized at 4.6 bar with the low-pressure pump (LPP) before being
mixed with the almost-saturated liquid water from the reboiler of the stripper column
in the PCCC unit. The resulting liquid stream is partially vaporized in the HRSG. The
liquid and vapour are separated, the vapour fraction is further heated in the HRSG, the
liquid fraction is once again split, one part is fed to the intermediate pressure pump (IPP)
and the other part to the high-pressure pump (HPP). Both pressurized liquids are heated
in the HRSG; a fraction of the IP liquid is used to preheat the natural gas entering the
combustion chamber and recirculate it with the saturated water from the reboiler of the
stripper. The HP superheated steam is expanded in the high-pressure turbine (HT) to
40 bar; it is then mixed with the IP superheated steam and reheated in the HRSG. The
resulting IP superheated steam is expanded in the intermediate-pressure turbine (IT) to the
LP level and again mixed with the LP superheated steam. The resulting stream is split to
feed both the stripper reboiler and the deaerator. The remaining fraction is expanded in
the LT.",Answer: No.
147,147,"The oxidant in the natural gas combustion is air, which is compressed at 18.2 bar in a
three-stage intercooled compressor. After combustion, the ﬂue gas is expanded in a turbine
(GT) until 1.03 bar [50]. The gas leaves the GT and enters the HRSG at 898 K, where it is
cooled to 437 K. The heat recovered in the HRSG supplies the Rankine cycle. In the HRSG,
the ﬂue gas is cooled to 303 K and subsequently compressed in a two-stage intercooled
compressor at 4 bar to be fed to the PCCC unit. Condensed water is expelled at the outlet
of each compression–refrigeration stage.",No.
148,148,"Flue gas is fed to an absorber working at 3.8 bar from the bottom of the column. In
the outlet section, the CO2-rich stream is sent to a stripper, where the weak bond between
MDEA and CO2 is thermally broken in the reboiler. The lean solvent is collected at the
bottom of the stripper and recirculated to the absorber, while almost-pure CO2 is collected
at the top of the stripper.",Answer: Yes.
149,149,"In particular, the polytropic coefﬁcient for compressors was set to equal 0.9215 for the",No.
150,150,inter-refrigerated stages and equal 0.9315 for the non-inter-refrigerated ones.,No.
151,151,2.2. Underground Storage,Answer: No.
152,152,"One route to avoid carbon emissions is the underground storage of the captured CO2.
This is accomplished by purifying and pressurizing the CO2 collected at the top of the
stripper. Carbon dioxide can be stored at different thermodynamic conditions. In this work,
we supposed storing it as a supercritical liquid. Therefore, the gas stream containing pure
CO2 was pressurized at 153 bar in a ﬁve-stage intercooled compressor. Carbon dioxide was
liqueﬁed and stored at 153 bar and 303 K. The overall scheme is presented in Figure 5 and
the main inputs, outputs and assumptions are listed in Table 3.",Answer: Yes.
153,153,"Figure 5. Underground storage block scheme (line 11 is the inlet pure CO2 gas stream, line 12 is the
pressurized and liqueﬁed CO2 stream).",Answer: No.
154,154,"Energies 2022, 15, 3516",No
155,155,9 of 20,Answer: No.
156,156,Table 3. Underground storage process assumptions.,Answer: No.
157,157,Operating Parameter,Answer: No.
158,158,"Interstage Temperature (K)
Stored CO2 Temperature (K)
Stored CO2 Pressure (bar)",Answer: No.
159,159,Pressure Drop at the inter coolers (bar),No
160,160,2.3. DME Production Plant,Answer: Yes.
161,161,"Value
303.15
303.15",Answer: No.
162,162,"153
0.2",No
163,163,"As an alternative to total carbon dioxide geological storage, we considered carbon
utilization for dimethyl ether (DME) production in a single-step reaction process. In this
conﬁguration, the DME production plant is fed with 25% of the total CO2, leaving the
remaining share destined to the underground storage as in the previously described case.
Figure 6 shows the CO2 conversion process scheme. A gaseous stream of CO2 collected at
the top of the stripper in the PCCC unit is puriﬁed and pressurized at 30 bar in a four-step
intercooled compressor [51]. Then, the stream from the compressor is mixed with a pure H2
stream and the stream recirculated from the top of the distillation column and containing
CO2 and H2. The ﬂow rate of H2 has the value needed to achieve a hydrogen to carbon
ratio (H/C) equal to 3. Then, the H2–CO2 mixture is heated up to 473.15 K and fed to the
reactor, where the reactions of CO2 hydrogenation, water–gas shift and methanol (MeOH)
dehydration happen [51]:",Yes.
164,164,"∆H0 = −49.4 kJ/mol
CO2 + 3H2 (cid:29) CH3OH + H2O
∆H0 = −41.0 kJ/mol
CO + H2O (cid:29) CO2 + H2
2CH3OH (cid:29) CH3OCH3 + H2O ∆H0 = −23.0 kJ/mol",No.
165,165,(10),"The produced methanol leaves the reactor with unconverted CO2. In order to make the
process economically viable, the unconverted carbon dioxide must be separated from the
methanol product and reused in the process, preventing greenhouse gases emissions to the
atmosphere.

Answer: No."
166,166,(11),No
167,167,(12),Answer: No.
168,168,"Figure 6. DME production plant block scheme (the tag HE represents the heat exchangers, the tag C
represents the columns for product separation).",Answer: No.
169,169,"The heat generated by the exothermic reactions is removed from the reactor in order
to maintain the temperature reaction constant at 473.15 K and supplied to the reboiler of
column C-1. The duty from the reboiler covers around 43% of the thermal demand at
the reboiler of column C-1. Then, the reaction products are cooled at 440 K in two heat",No.
170,170,"Energies 2022, 15, 3516",No.
171,171,10 of 20,"This section does not contain information on process description, process design, process simulation, flowsheet description, flowsheet synthesis, or flowsheet design. Answer: No."
172,172,"exchangers. The heat exchanger HE2 supplies the duty of the column C-3 reboiler, while
the heat exchanger HE3 provides the heat needed by the column C-2 reboiler. After being
cooled, the reaction products enter column C-1 at 21.3 bar. Here the heavy compounds,
MeOH and water, are separated from the light ones (DME, CO, CO2 and H2). The light
compounds are collected at the top of C-1 as a vaporous mixture and fed to column C-2
operating at 19 bar to separate the DME. The distillate of column C-2 contains unreacted
CO, CO2 and H2, which are recycled to the reactor for 95% of their amount in the distillate,
the remaining part enters a PSA to extract the hydrogen in it. Eighty percent of the
hydrogen in the PSA is collected at the outlet section. The overall rate of CO2 conversion
is around 90%. MeOH and water are collected at the bottom of column C-1 as a liquid
mixture and separated in column C-3 operating at 1.8 bar. Both columns C-1 and C-2
have partial condensers at their top stages working below the environmental temperature.
In particular, the condensing temperatures at C-1 and C-2 are 262.48 K and 246.89 K,
respectively. Therefore, refrigeration cycles are used to reach these temperatures, and 3.14
is the value supposed for the Coefﬁcient of Performance (COP) of both cycles [52]. The
overall scheme is presented in Figure 6 and the main inputs, outputs and assumptions are
listed in Table 4.",Yes
173,173,Table 4. DME production plant process assumptions.,Answer: No.
174,174,"Operating Parameter
Reactor Pressure (bar)",No
175,175,Reaction Temperature (K),Answer: No.
176,176,C-1 Pressure (bar),Answer: No.
177,177,C-1 Number of Stages,Answer: No.
178,178,"C-1 Condenser
C-1 Reboiler",Answer: No.
179,179,C-2 Pressure (bar),No.
180,180,C-2 Number of Stages,Answer: No.
181,181,"C-2 Condenser
C-2 Reboiler",Answer: No.
182,182,C-3 Pressure (bar),No
183,183,C-3 Number of Stages,No
184,184,"C-3 Condenser
C-3 Reboiler",Answer: No.
185,185,COP,No
186,186,Partial vapour,Answer: No.
187,187,Partial vapour,Yes.
188,188,Value,No.
189,189,30,Answer: No.
190,190,"473.15
20.5
15",Answer: No.
191,191,Kettle,No
192,192,"19
15",No.
193,193,Kettle,No
194,194,"1.8
15
Total
Kettle
3.14",No
195,195,3. Assumptions and Methodology,No
196,196,"All processes were simulated with the software Aspen Plus V10. The Peng–Robinson
model was applied to the Brayton–Joule cycle of the power plant, while the Steam–Table
model was chosen for the Rankine cycle of the plant. To control the process, eight design
speciﬁcations were introduced to adjust the temperature at the outlet of the GT, the pinch
temperature differences in the HRSG, the vent purge in the deaerator, the water make-up
and the steam to be sent at the reboiler of the stripper in the PCCC unit. A calculator
was used to evaluate the power generated by the plant. The natural gas properties were
taken from [51]. The combustion chamber was simulated with an RGibbs reactor, which
minimized the Gibbs free energy, and the deaerator with a Flash2 separator.",No
197,197,"With respect to the PCCC unit, for all of the blocks within this unit, the ENRT-RK
model was used, which consisted of an unsymmetric electrolyte NRTL model with the
Redlich–Kwong equation of state and Henry’s law for electrolyte systems. The electrolyte
species were due to the presence of the amine MDEA as solvent.",No
198,198,"To control the PCCC process, four design speciﬁcations were introduced to adjust the
CO2 content in the gas stream leaving the absorber from the top, the molar composition of
the residue of the stripper, the water make-up and the solvent make-up. The absorber was
simulated with a RadFrac column with no condenser nor reboiler of 10 theoretical stages
working at 3.8 bar. The stripper was simulated with a RadFrac column too, without the",Answer: Yes.
199,199,"Energies 2022, 15, 3516",No.
200,200,11 of 20,Answer: No.
201,201,"condenser, but with a Kettle reboiler fed with the LP steam from the power plant. It had
ﬁve theoretical stages and a working pressure of 1.1 bar.",Answer: No.
202,202,"Regarding the DME production plant, the NRTL and the Peng–Robinson models were
implemented. The former was for the distillation columns, which worked below 20 bar,
and the latter was used for the other blocks, which worked at higher pressures. The single-
stage reactor was modelled with an RGibbs reactor minimizing the Gibbs free energy with
an implemented temperature approach of equilibrium of 20 K. The distillation columns
used to separate the reaction products were all modelled with the RadFrac column. Every
distillation column had 15 theoretical stages and a Kettle reboiler. Columns C-1 and C-2
were equipped with a partial condenser and their distillate was vaporous, while column
C-3 had a total condenser providing a liquid distillate. DME was the primary product of
the plant, while MeOH was a secondary product. The simulation included seven design
speciﬁcations with the objective of setting the molar ratio between hydrogen and carbon at
the inlet of the reactor and the distillates’ ﬂow rate and purity at each distillation column.
The exergy analysis with the aim of evaluating thermodynamics inefﬁciencies and rig-
orous performances of the process was based on the conventional methodology described
in the following and found in some similar papers [45,47].",Yes
203,203,"The ambient conditions were assumed at 298.15 K and 1.013 bar. The exergy ﬂow
rate Ei of the i-th stream was the sum of the physical and chemical exergies, as reported in
Equation (13), and was obtainable from the Aspen Plus simulations, while the kinetic and
potential exergies were neglected. For further details, please refer to [44].",No.
204,204,Ei = EPH,No
205,205,i + ECH,Answer: No.
206,206,i,Answer: No.
207,207,The exergy destruction rate in the j-th component was calculated as follows:,No
208,208,"ED,j = EF,j + EP,j",Answer: No.
209,209,(13),No.
210,210,(14),No.
211,211,"where EF,j, EP,j and ED,j are respectively the exergy of the streams fed to the j-th component,
the exergy of the streams leaving the j-th component, and the exergy destroyed in the j-th
component. Table 5 shows how EF,j and EP,j were deﬁned for each component.",No
212,212,Table 5. Exergy of fuels and products for different components.,No
213,213,Component,No
